kind,area,period,hour,value
NO2,NCP,l3,9,23.22218347
NO2,NCP,l3,10,20.5123034
NO2,NCP,l3,11,18.1235289
NO2,NCP,l3,12,14.9707774
NO2,NCP,l3,13,12.62084166
NO2,NCP,l3,14,11.34337566
NO2,NCP,l3,15,11.38390466
NO2,NCP,l3,16,12.1300347
NO2,NCP,l3,17,12.95220944
NO2,NCP,l3,18,14.70651847
NO2,NCP,l3,19,18.32413585
NO2,NCP,l3,20,22.6379707
NO2,NCP,l3,21,25.87364405
NO2,NCP,l3,22,27.70488803
NO2,NCP,l3,23,27.90751882
NO2,NCP,pre,0,34.0945233
NO2,NCP,pre,1,33.65371856
NO2,NCP,pre,2,32.61706148
NO2,NCP,pre,3,31.52582594
NO2,NCP,pre,4,30.71250507
NO2,NCP,pre,5,30.00408276
NO2,NCP,pre,6,30.37556127
NO2,NCP,pre,7,30.94048846
NO2,NCP,pre,8,32.21595121
NO2,NCP,pre,9,31.83848192
NO2,NCP,pre,10,30.80994547
NO2,NCP,pre,11,29.34387287
NO2,NCP,pre,12,27.35272409
NO2,NCP,pre,13,25.74697403
NO2,NCP,pre,14,24.65432161
NO2,NCP,pre,15,24.71064395
NO2,NCP,pre,16,25.81770766
NO2,NCP,pre,17,28.53664188
NO2,NCP,pre,18,33.02542899
NO2,NCP,pre,19,35.91604962
NO2,NCP,pre,20,36.82220636
NO2,NCP,pre,21,36.656209
NO2,NCP,pre,22,36.11376495
NO2,NCP,pre,23,35.27228028
NO2,NEC,l1,0,20.97545
NO2,NEC,l1,1,20.5729867
NO2,NEC,l1,2,19.96939001
NO2,NEC,l1,3,19.41128287
NO2,NEC,l1,4,18.91022414
NO2,NEC,l1,5,18.8964182
NO2,NEC,l1,6,19.46687692
NO2,NEC,l1,7,20.96689033
NO2,NEC,l1,8,21.55944004
NO2,NEC,l1,9,20.19093547
NO2,NEC,l1,10,18.18647554
NO2,NEC,l1,11,16.39505259
NO2,NEC,l1,12,14.90467942
NO2,NEC,l1,13,13.67023053
NO2,NEC,l1,14,12.61494297
NO2,NEC,l1,15,12.78960211
NO2,NEC,l1,16,13.68396693
NO2,NEC,l1,17,16.29416336
NO2,NEC,l1,18,19.64014853
NO2,NEC,l1,19,21.93192838
NO2,NEC,l1,20,22.65755236
NO2,NEC,l1,21,22.81191885
NO2,NEC,l1,22,22.42205791
NO2,NEC,l1,23,21.70927956
NO2,NEC,l2,0,20.84030803
NO2,NEC,l2,1,20.46828337
NO2,NEC,l2,2,19.92997806
