kind,area,Time.1,value
O3,TP,9,45.536735239113014
O3,TP,10,50.010765550239235
O3,TP,11,61.08538925438595
O3,TP,12,73.03747588867458
O3,TP,13,82.43475877192982
O3,TP,14,88.70938215102973
O3,TP,15,92.08353045535183
O3,TP,16,93.88834803772436
O3,TP,17,93.91493268053856
O3,TP,18,90.74745813397129
O3,TP,19,84.42133408387276
O3,TP,20,77.37900306321357
O3,TP,21,71.82059845044085
O3,TP,22,69.53394736842104
O3,TP,23,68.79631578947368
O3,YR,0,28.05030409702381
O3,YR,1,27.200040132768105
O3,YR,2,26.750622613042946
O3,YR,3,26.124466354371208
O3,YR,4,25.533583261334226
O3,YR,5,24.36988741439519
O3,YR,6,23.459594216721936
O3,YR,7,21.968277495660374
O3,YR,8,21.933851765282807
O3,YR,9,24.849261956753605
O3,YR,10,29.658013806190198
O3,YR,11,34.439170236026335
O3,YR,12,39.526533443089065
O3,YR,13,43.615249051836315
O3,YR,14,45.584231300323246
O3,YR,15,46.671813565988295
O3,YR,16,46.66354903119708
O3,YR,17,45.536687970872464
O3,YR,18,42.27208035632824
O3,YR,19,37.63759131719337
O3,YR,20,33.91318840164667
O3,YR,21,31.467124750253234
O3,YR,22,29.56305381108786
O3,YR,23,28.342550791797265
PM10,NCP,0,56.91920756354617
PM10,NCP,1,56.85698258239158
PM10,NCP,2,57.02643252339884
PM10,NCP,3,55.884586674155464
PM10,NCP,4,55.72181590785956
PM10,NCP,5,55.49197787007207
PM10,NCP,6,55.37321959008986
PM10,NCP,7,55.25081659970004
PM10,NCP,8,55.940126979129865
PM10,NCP,9,57.214813056213
PM10,NCP,10,57.78380160214303
PM10,NCP,11,56.269434990782834
PM10,NCP,12,53.610145176401645
PM10,NCP,13,51.32071225229799
PM10,NCP,14,49.86519398286272
PM10,NCP,15,48.73888078139515
PM10,NCP,16,48.32427800055399
PM10,NCP,17,48.80658432833951
PM10,NCP,18,49.56526240459206
PM10,NCP,19,51.279669921792824
PM10,NCP,20,53.66340031577929
PM10,NCP,21,55.66646922410924
PM10,NCP,22,56.76596340733531
PM10,NCP,23,56.876901983111864
PM10,NEC,0,69.7209936988568
PM10,NEC,1,70.70946207753977
PM10,NEC,2,69.80500349113262
PM10,NEC,3,68.7618089548744
PM10,NEC,4,68.01193713179256
PM10,NEC,5,66.78738447525103
PM10,NEC,6,66.13591236781299
PM10,NEC,7,67.90315879923061
PM10,NEC,8,69.58313750469246
PM10,NEC,9,70.277772619173
PM10,NEC,10,67.92594065311403
PM10,NEC,11,63.2368751072657
PM10,NEC,12,57.588628907997425
PM10,NEC,13,53.13282707944547
PM10,NEC,14,49.290030198296314
PM10,NEC,15,47.15042233516343
PM10,NEC,16,47.43617643089534
PM10,NEC,17,50.068316295046365
PM10,NEC,18,53.70658914515026
PM10,NEC,19,59.42436184732287
PM10,NEC,20,65.52942968621517
PM10,NEC,21,69.10972126118014
PM10,NEC,22,70.21733220050976
PM10,NEC,23,70.82672108239805
PM10,NW,0,106.96596998928194
PM10,NW,1,105.78857973421923
PM10,NW,2,106.09207785087717
PM10,NW,3,103.88109185918593
PM10,NW,4,103.93676876379693
PM10,NW,5,100.20988212719297
PM10,NW,6,98.87435581140346
PM10,NW,7,98.9953073089701
PM10,NW,8,99.15379415011041
PM10,NW,9,101.86716335540837
PM10,NW,10,103.84915300546446
PM10,NW,11,105.77575632563253
PM10,NW,12,104.43549731182797
PM10,NW,13,100.59954470198674
PM10,NW,14,98.47040562913908
PM10,NW,15,95.94124177631576
PM10,NW,16,94.82322427293063
PM10,NW,17,96.44043874172183
PM10,NW,18,96.81489512471656
PM10,NW,19,99.52029109589041
PM10,NW,20,101.66928490990992
PM10,NW,21,104.87431917211329
PM10,NW,22,105.96094262295087
PM10,NW,23,105.30031524122809
PM10,PR,0,28.36244642031142
PM10,PR,1,28.03317296431316
PM10,PR,2,27.81410778564433
PM10,PR,3,27.32676920343258
PM10,PR,4,26.92285050560751
PM10,PR,5,26.798768896425305
PM10,PR,6,26.56971968464592
PM10,PR,7,26.64432275298439
PM10,PR,8,27.082228383141736
PM10,PR,9,28.261650306972303
PM10,PR,10,28.77962338511766
PM10,PR,11,28.278341374212953
PM10,PR,12,27.73002845851749
PM10,PR,13,26.928399437754514
PM10,PR,14,25.825382244206565
PM10,PR,15,24.923963310125295
PM10,PR,16,24.65793958856059
PM10,PR,17,25.26994285757216
PM10,PR,18,26.289539894340198
PM10,PR,19,28.136438576475662
PM10,PR,20,28.95269125010957
PM10,PR,21,29.52394940706448
PM10,PR,22,29.406896716626168
PM10,PR,23,28.965134612596106
PM10,SC,0,34.60426233809032
PM10,SC,1,34.13443727689089
PM10,SC,2,33.789239760526485
PM10,SC,3,32.578044822754975
PM10,SC,4,32.095805730544456
PM10,SC,5,31.449180096350783
PM10,SC,6,31.038272375659016
PM10,SC,7,31.678319141454992
PM10,SC,8,32.027209152259026
PM10,SC,9,32.71733562919291
PM10,SC,10,33.28248084639187
PM10,SC,11,32.86818331525367
PM10,SC,12,32.00806573295158
PM10,SC,13,30.796262536425008
PM10,SC,14,29.73974401748996
PM10,SC,15,28.845626775428187
PM10,SC,16,28.7976987155222
PM10,SC,17,28.951523014177045
PM10,SC,18,30.2114516990337
PM10,SC,19,31.943984625988563
PM10,SC,20,33.828779923855656
PM10,SC,21,34.87559540964096
PM10,SC,22,35.253860684619546
PM10,SC,23,34.83519801567506
PM10,TP,0,49.38639281129653
PM10,TP,1,46.20237777184076
PM10,TP,2,44.17759851891035
PM10,TP,3,42.26102057173391
PM10,TP,4,40.382847982901424
PM10,TP,5,39.0763963480129
PM10,TP,6,38.57253539941222
PM10,TP,7,39.3944696767299
PM10,TP,8,41.173066595059076
PM10,TP,9,45.65260444926749
PM10,TP,10,53.01718582169709
PM10,TP,11,56.836331901181524
PM10,TP,12,54.505181347150256
PM10,TP,13,47.63478139793931
PM10,TP,14,41.36100610642628
PM10,TP,15,37.22346119536129
PM10,TP,16,37.21437740693196
PM10,TP,17,37.60755148741418
PM10,TP,18,38.37957181088313
PM10,TP,19,41.35049161364951
PM10,TP,20,45.54501006614899
PM10,TP,21,49.58305921052632
PM10,TP,22,52.52997829625612
PM10,TP,23,52.19518645860885
PM10,YR,0,32.333885981595714
PM10,YR,1,31.674833528798903
PM10,YR,2,31.22436612122048
PM10,YR,3,30.83844460510781
PM10,YR,4,30.768877712411644
PM10,YR,5,30.47370685062012
PM10,YR,6,30.45513928076203
PM10,YR,7,31.17236948210657
PM10,YR,8,31.92512023601812
PM10,YR,9,32.766225068513656
PM10,YR,10,32.89207613322342
PM10,YR,11,31.8990472061314
PM10,YR,12,31.381245726799328
PM10,YR,13,30.587506756942012
PM10,YR,14,29.903237631117648
PM10,YR,15,29.599189784896517
PM10,YR,16,29.485456349627412
PM10,YR,17,29.840359005671246
PM10,YR,18,30.84253985356259
PM10,YR,19,31.735323621147074
PM10,YR,20,33.32939390341019
PM10,YR,21,33.909531113363514
PM10,YR,22,33.95095419562159
PM10,YR,23,32.98960539729977
PM2.5,NCP,0,39.19009284590788
PM2.5,NCP,1,38.890389990451894
PM2.5,NCP,2,39.112797837492955
PM2.5,NCP,3,38.61644215610665
PM2.5,NCP,4,38.570630381010524
PM2.5,NCP,5,38.46750800545145
PM2.5,NCP,6,38.35552130448246
PM2.5,NCP,7,38.268111745652185
PM2.5,NCP,8,38.41133163703832
PM2.5,NCP,9,38.58317139864339
PM2.5,NCP,10,38.49416304816538
PM2.5,NCP,11,37.88802734193463
PM2.5,NCP,12,36.03999880704917
PM2.5,NCP,13,34.498676309385395
PM2.5,NCP,14,33.20283636824246
PM2.5,NCP,15,32.196397200892996
PM2.5,NCP,16,31.86696264870668
PM2.5,NCP,17,31.91510444467785
PM2.5,NCP,18,32.693775237187864
PM2.5,NCP,19,34.03112823284836
PM2.5,NCP,20,36.152234497220405
PM2.5,NCP,21,37.49932893221793
PM2.5,NCP,22,38.53450453507002
PM2.5,NCP,23,38.65020604929973
PM2.5,NEC,0,52.64581870185013
PM2.5,NEC,1,52.841442366370416
PM2.5,NEC,2,52.015197510490644
PM2.5,NEC,3,51.540860354433626
PM2.5,NEC,4,51.05383389887005
PM2.5,NEC,5,50.30891044795462
PM2.5,NEC,6,50.12204291818478
PM2.5,NEC,7,51.6027220698136
PM2.5,NEC,8,52.78685713383063
PM2.5,NEC,9,52.67470711513961
PM2.5,NEC,10,50.09449485149827
PM2.5,NEC,11,45.60435650535758
PM2.5,NEC,12,40.502591754983754
PM2.5,NEC,13,36.07795583651488
PM2.5,NEC,14,32.57391533197985
PM2.5,NEC,15,31.0912676058931
PM2.5,NEC,16,31.241289854033912
PM2.5,NEC,17,33.36196470056963
PM2.5,NEC,18,37.4989181746656
PM2.5,NEC,19,42.664678308006756
PM2.5,NEC,20,47.25561887899077
PM2.5,NEC,21,50.262689382476914
PM2.5,NEC,22,51.98725055988383
PM2.5,NEC,23,53.1082008733464
PM2.5,NW,0,57.07406815761448
PM2.5,NW,1,57.28276766004416
PM2.5,NW,2,56.69960121012098
PM2.5,NW,3,55.00570682068207
PM2.5,NW,4,53.65810032894736
PM2.5,NW,5,52.35394736842105
PM2.5,NW,6,51.60617386489482
PM2.5,NW,7,51.36032008830022
PM2.5,NW,8,51.61397714604237
PM2.5,NW,9,52.37350993377483
PM2.5,NW,10,53.67057461873637
PM2.5,NW,11,55.098744481236196
PM2.5,NW,12,54.716922043010754
PM2.5,NW,13,54.544325657894746
PM2.5,NW,14,52.884997249724975
PM2.5,NW,15,51.18696895424835
PM2.5,NW,16,50.11869517543862
PM2.5,NW,17,50.84103618421053
PM2.5,NW,18,51.985451273532654
PM2.5,NW,19,53.580984340044736
PM2.5,NW,20,55.90333619702177
PM2.5,NW,21,56.71506514657982
PM2.5,NW,22,57.24915048543684
PM2.5,NW,23,57.214180327868846
PM2.5,PR,0,19.31115037377142
PM2.5,PR,1,19.195904414900966
PM2.5,PR,2,18.759832781603926
PM2.5,PR,3,18.455022072808916
PM2.5,PR,4,18.26853947221926
PM2.5,PR,5,18.321630221030613
PM2.5,PR,6,18.271443133195316
PM2.5,PR,7,18.506137459907173
PM2.5,PR,8,18.587958954763273
PM2.5,PR,9,18.860353041801908
PM2.5,PR,10,18.845583466457203
PM2.5,PR,11,18.291292941642208
PM2.5,PR,12,18.099753934325815
PM2.5,PR,13,17.556558577531078
PM2.5,PR,14,16.892865574820977
PM2.5,PR,15,16.62536272963293
PM2.5,PR,16,16.468508612372794
PM2.5,PR,17,16.765455055802178
PM2.5,PR,18,17.52775788037056
PM2.5,PR,19,19.076671700139865
PM2.5,PR,20,19.673409673331943
PM2.5,PR,21,19.86994495174322
PM2.5,PR,22,19.942826442083533
PM2.5,PR,23,19.682644828554235
PM2.5,SC,0,24.924958421435672
PM2.5,SC,1,24.951914519021965
PM2.5,SC,2,25.088070193830962
PM2.5,SC,3,24.43138256280627
PM2.5,SC,4,24.499722763375875
PM2.5,SC,5,24.101759671693472
PM2.5,SC,6,23.9110106615423
PM2.5,SC,7,23.77085898598445
PM2.5,SC,8,24.243105605255792
PM2.5,SC,9,24.49180995082098
PM2.5,SC,10,24.171824449706865
PM2.5,SC,11,23.791156927032425
PM2.5,SC,12,23.027009804982754
PM2.5,SC,13,22.02129431189344
PM2.5,SC,14,21.074814028440116
PM2.5,SC,15,20.13541544832478
PM2.5,SC,16,19.805115289130782
PM2.5,SC,17,19.6954626115406
PM2.5,SC,18,20.41181883599006
PM2.5,SC,19,21.678468735505522
PM2.5,SC,20,23.094197326262353
PM2.5,SC,21,24.075832255016927
PM2.5,SC,22,24.74341383301055
PM2.5,SC,23,24.704480361615083
PM2.5,TP,0,24.62172673061966
PM2.5,TP,1,23.513963480128904
PM2.5,TP,2,22.344882306268186
PM2.5,TP,3,21.656158161902223
PM2.5,TP,4,21.309695290858734
PM2.5,TP,5,20.637032997000276
PM2.5,TP,6,20.405678670360114
PM2.5,TP,7,20.845614035087717
PM2.5,TP,8,22.050617615467235
PM2.5,TP,9,24.40687210253613
